variant,density_bucket,support,fidelity_precision,fidelity_recall,fidelity_f1,fidelity_tp,fidelity_fp,fidelity_fn,primary_fix_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
normal,1,167,0.8162162162162162,0.8162162162162162,0.8162162162162163,151,34,34,0.9041916167664671,334,0.2155688622754491,0.0,0.0,0.9520958083832335,0.15568862275449102,1.1077844311377245,1.1077844311377245
normal,17_64,87088,0.7115386734547698,0.6935329688624426,0.7024204514549905,64570,26177,28533,0.8605146518464082,174176,0.8674952468053345,0.017646640043467582,0.19584488606230677,0.5163857247841264,0.5256292485761529,1.0420149733602793,1.0420149733602793
normal,2_4,2034,0.6862549800796812,0.6524621212121212,0.6689320388349514,1378,630,734,0.9026548672566371,4068,0.9217469682071453,0.0014749262536873156,0.0009832841691248771,0.8667649950835792,0.12045231071779744,0.9872173058013766,0.9872173058013766
normal,5_16,14675,0.734372908579842,0.7025417760420001,0.7181047740584404,10973,3969,4646,0.8813287904599659,29350,0.8836680536953082,0.021498602476455894,0.014265758091993227,0.7852129471890971,0.23298126064735947,1.0181942078364565,1.0181942078364565
normal,65_plus,39352,0.6256951198224483,0.6002775186009235,0.6127228327228327,25091,15010,16708,0.8317874568001626,78704,0.843785036970044,0.004319852631830852,0.06884184574995152,0.6144033340109778,0.40463000609880057,1.0190333401097784,1.0190333401097784
no_factor_pressure,1,167,0.8162162162162162,0.8162162162162162,0.8162162162162163,151,34,34,0.9041916167664671,334,0.2155688622754491,0.0,0.0,0.9520958083832335,0.15568862275449102,1.1077844311377245,1.1077844311377245
no_factor_pressure,17_64,87088,0.20115634156550857,0.16517190638325296,0.18139674788116852,15378,61070,77725,0.3845994855778064,174176,0.847470190755109,0.018574017863894312,0.010900641711144772,0.8631039867720007,0.014720742237736542,0.8778247290097373,0.8778247290097373
no_factor_pressure,2_4,2034,0.5849056603773585,0.4990530303030303,0.5385794583546243,1054,748,1058,0.8141592920353983,4068,0.9216650278597183,0.0014749262536873156,0.0004916420845624386,0.7654867256637168,0.12045231071779744,0.8859390363815143,0.8859390363815143
no_factor_pressure,5_16,14675,0.3703011422637591,0.3424675075228888,0.35584087280468335,5349,9096,10270,0.6191822827938671,29350,0.8696099537411281,0.017008164086528693,0.0041590005678591715,0.9342419080068143,0.05008517887563884,0.9843270868824532,0.9843270868824532
no_factor_pressure,65_plus,39352,0.2616367748382685,0.238020048326515,0.2492702787347322,9949,28077,31850,0.4414515145354747,78704,0.8375525775441387,0.006076195102117441,0.006062915394093718,0.9496594836348852,0.0166446432201667,0.9663041268550518,0.9663041268550518
primary_only_pressure,1,167,0.8162162162162162,0.8162162162162162,0.8162162162162163,151,34,34,0.9041916167664671,334,0.2155688622754491,0.0,0.0,0.9520958083832335,0.15568862275449102,1.1077844311377245,1.1077844311377245
primary_only_pressure,17_64,87088,0.27496952563736804,0.22774776322997112,0.2491408026225348,21204,55910,71899,0.44859796986955724,174176,0.8491984496006083,0.016965921700460074,0.011517268423777562,0.8053692816461511,0.08010288443872864,0.8854721660848797,0.8854721660848797
primary_only_pressure,2_4,2034,0.6473551637279596,0.6084280303030303,0.627288259702221,1285,700,827,0.8773352999016716,4068,0.9218289085545723,0.0014749262536873156,0.0004916420845624386,0.8731563421828908,0.10275319567354965,0.9759095378564405,0.9759095378564405
primary_only_pressure,5_16,14675,0.41115702479338845,0.38222677508163133,0.396164438103454,5970,8550,9649,0.6571379897785349,29350,0.8714774139356747,0.015245593134860626,0.004386144236229416,0.9073935264054515,0.0820442930153322,0.9894378194207837,0.9894378194207837
primary_only_pressure,65_plus,39352,0.3422788802733605,0.3115385535539128,0.3261860628225039,13022,25023,28777,0.5702505590567188,78704,0.8382211465233393,0.0052704583110471034,0.006187411619185175,0.8228552551331572,0.14393169343362472,0.9667869485667818,0.9667869485667818
secondary_only_pressure,1,167,0.8162162162162162,0.8162162162162162,0.8162162162162163,151,34,34,0.9041916167664671,334,0.2155688622754491,0.0,0.0,0.9520958083832335,0.15568862275449102,1.1077844311377245,1.1077844311377245
secondary_only_pressure,17_64,87088,0.7024255375396545,0.6849295941054531,0.6935672451016113,63769,27015,29334,0.8546412823810399,174176,0.8677403885742329,0.017612730612529885,0.1958481365151893,0.5154900790005512,0.5269497519750138,1.042439830975565,1.042439830975565
secondary_only_pressure,2_4,2034,0.6254763200870985,0.5440340909090909,0.5819194732843759,1149,688,963,0.8402163225172075,4068,0.9220747295968534,0.0014749262536873156,0.0014749262536873156,0.7586037364798427,0.14454277286135694,0.9031465093411996,0.9031465093411996
secondary_only_pressure,5_16,14675,0.7262326888338797,0.6949868749599847,0.7102663089707518,10855,4092,4764,0.8776831345826235,29350,0.8852258812548396,0.02036860697508052,0.0159256104486088,0.7735604770017036,0.24497444633730836,1.018534923339012,1.018534923339012
secondary_only_pressure,65_plus,39352,0.6231290137184837,0.5965932199334912,0.6095724657165904,24937,15082,16862,0.8304914616792031,78704,0.8439071249457029,0.004260405174129634,0.06885721177624012,0.6116588737548282,0.40529070949379953,1.0169495832486277,1.0169495832486277
